,Child mortality,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Child mortality,0.0,0.013363733751001194,0.006793032457277842,0.001323505564395031,0.011613106627642382,0.008643658921702617,0.016687657622627063,0.014131136237523899,0.01696123636385883,0.01167596364404588
Nutrition,0.06420736448377976,0.0,0.07884172475057348,0.053083812231956,0.15852965090700682,0.11596930258776506,0.09136035244910212,0.0822420253774236,0.17579800455629316,0.13379753388767174
School attendance,0.012372218687546207,0.029887045534788676,0.0,0.024804600823234782,0.04906597974414267,0.06637365160869475,0.02301463165367765,0.033103634287766394,0.06325523433494314,0.044742799315310125
Schooling,0.0029174255629948534,0.024354492685009232,0.03002080659728876,0.0,0.06728528623421999,0.03769173949389458,0.049283950632018,0.04829875780134813,0.08373077340733934,0.08835907334753668
Electricity,0.0654856741276109,0.18605929154658302,0.15191283409630585,0.17212501091765042,0.0,0.19114004764675993,0.17332772891261672,0.1350761833834216,0.3191364407652754,0.49948909973447125
Drinking water,0.040673036824800855,0.11357820341308289,0.17148288912002443,0.08046020726546532,0.15950076836130894,0.0,0.09656460090787837,0.08356258402797444,0.32447908631235745,0.2292715421144207
Sanitation,0.1241396318762991,0.14145418777728666,0.0940015906577057,0.16632080324878526,0.22865738365447733,0.15265957313749096,0.0,0.13132034272652854,0.2915370240267832,0.25586472492823353
Housing,0.28022481094355456,0.339442540564757,0.3604302878693942,0.43450167020960345,0.4750183572553099,0.3521538040657263,0.35006318235960954,0.0,0.686506253176534,0.6086113461069016
Cooking fuel,0.048331983105365184,0.1042639131632144,0.09896683451728525,0.1082401035228175,0.16127075414831427,0.19649650966790647,0.11167494636861655,0.09864886769334676,0.0,0.2943386056263569
Assets,0.05784229842140566,0.137957046204265,0.12170041567699655,0.19857745841691582,0.43881446367394683,0.24137594174792057,0.1703915881788425,0.1520419219285012,0.5117088488618875,0.0
